api_developer_name,list_source,output_directory
drchrono Inc.,https://drchrono-fhirpresentation.everhealthsoftware.com/fhir/r4/endpoints,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/drchrono_inc_c0aaacb243932a2f36f36a7152b14262
"EnSoftek, Inc",https://drcloudehr.com/drcloudehr/drcloud-service-base-urls.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/ensoftek_inc_da96204b76c2ca461f772291b86d518c
"Keiser Computers, Inc.",https://drsdoc.com/ValidURLs.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/keiser_computers_inc_a4ee0a18fa75d5f2484b23416aa49b8b
"Dynamic Health IT, Inc",https://dynamicfhirpresentation.dynamicfhirsandbox.com/fhir/r4/endpoints,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/dynamic_health_it_inc_c43fec58c84d685cff61e6cd00e22462
Enable Healthcare Inc.,https://ehifhir.ehiconnect.com/fhir/r4/endpoints,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/enable_healthcare_inc_4a62dcf3b9383479b002d7d5af3094fc
"Radysans, Inc",https://ehrwebapi.cutecharts.com/radywebapi/endpoint,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/radysans_inc_d988bbb6cbeabb52041aa9e68a50926a
"Adaptamed, LLC",https://ehryourway.com/content/fhir-service-urls.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/adaptamed_llc_47d439f4130f7692caea161fa0b4d2bd
Aarista Technology LLC,https://emrfhirpresentation.aarista.com/fhir/r4/endpoints,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/aarista_technology_llc_98dd118c306868b25684644c95fe4c75
The Echo Group,https://ensorahealth.com/onc/echo/fhir/r4/Endpoint,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/the_echo_group_bf7be8370b8034dbc1b396c6f7811c91
"VIPA Health Solutions, LLC",https://ezedev.smartemr.com/fhir_sburl/,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/vipa_health_solutions_llc_2cbfbd6ccd7abe0a46f034fe3473a674
"Vohra Wound Physicians Management, LLC",https://facilityportal.vohrawoundteam.com/vohra-service-urls.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/vohra_wound_physicians_management_llc_c4251a1e507578679c85028a9d580166
"TruBridge, Inc.",https://fhir-api.golunar.com,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/trubridge_inc_5d658ae2726ef2eff0e0d125effd7829
"Universal EHR, Inc.",https://fhir-api.golunar.com,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/universal_ehr_inc_5d658ae2726ef2eff0e0d125effd7829
"Lunar Systems, Inc.",https://fhir-api.golunar.com,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/lunar_systems_inc_5d658ae2726ef2eff0e0d125effd7829
"Health Information Management Systems, LLC",https://fhir-api.hmsfirst.com/r4/EndPoints,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/health_information_management_systems_llc_c2f8c149ba4c8524a6545b2ddeaa63de
"Medical Information Technology, Inc. (MEDITECH)",https://fhir-apis.meditech.com/v1/brands,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/medical_information_technology_inc_meditech_1cf6faf4d8dcbed97f2751e924fff1d5
